Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report,Season,CrdY,CrdR,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Poss,Team,Result_Num,Opponent_Num,Venue_Num,Team_Num
2024-04-27,18:30,Regular Season,Sat,Away,W,2.0,0.0,Red Stars,2.0,13.0,7.0,53.8,0.15,0.29,15.8,0.0,0.0,0.0,1.7,1.7,0.15,0.3,0.3,Match Report,2024,3.0,0.0,10.0,11.0,3.0,15.0,9.0,11.0,0.0,0.0,0.0,62.0,54.0,Portland Thorns,1,9,0,0
2024-05-01,19:00,Regular Season,Wed,Away,W,3.0,2.0,Bay FC,3.0,9.0,5.0,55.6,0.33,0.6,16.8,0.0,0.0,0.0,1.4,1.4,0.15,1.6,1.6,Match Report,2024,2.0,0.0,10.0,10.0,1.0,4.0,12.0,21.0,0.0,0.0,0.0,50.0,46.0,Portland Thorns,1,1,0,0
2024-05-04,19:00,Regular Season,Sat,Home,W,2.0,1.0,Spirit,2.0,10.0,4.0,40.0,0.2,0.5,17.3,0.0,0.0,0.0,1.5,1.5,0.15,0.5,0.5,Match Report,2024,0.0,0.0,7.0,11.0,2.0,6.0,16.0,12.0,0.0,0.0,0.0,64.0,39.0,Portland Thorns,1,12,1,0
2024-05-11,19:00,Regular Season,Sat,Home,W,4.0,0.0,Reign,4.0,13.0,5.0,38.5,0.23,0.6,22.6,0.0,1.0,1.0,1.4,0.7,0.05,2.6,2.3,Match Report,2024,1.0,0.0,15.0,8.0,2.0,6.0,17.0,10.0,0.0,0.0,0.0,56.0,46.0,Portland Thorns,1,10,1,0
2024-05-17,19:00,Regular Season,Fri,Away,W,2.0,0.0,Dash,2.0,22.0,10.0,45.5,0.09,0.2,15.4,0.0,0.0,0.0,2.8,2.8,0.13,-0.8,-0.8,Match Report,2024,0.0,0.0,10.0,3.0,3.0,14.0,17.0,17.0,0.0,0.0,0.0,51.0,48.0,Portland Thorns,1,4,0,0
2024-05-24,19:00,Regular Season,Fri,Away,L,1.0,2.0,Pride,1.0,12.0,4.0,33.3,0.08,0.25,16.6,0.0,0.0,0.0,2.5,2.5,0.21,-1.5,-1.5,Match Report,2024,2.0,0.0,9.0,6.0,2.0,21.0,9.0,16.0,0.0,0.0,0.0,49.0,55.0,Portland Thorns,-1,8,0,0
2024-06-08,19:00,Regular Season,Sat,Home,W,1.0,0.0,Courage,1.0,15.0,4.0,26.7,0.0,0.0,19.4,0.0,1.0,1.0,1.4,0.6,0.04,-0.4,-0.6,Match Report,2024,2.0,1.0,7.0,16.0,3.0,14.0,5.0,17.0,1.0,0.0,0.0,59.0,47.0,Portland Thorns,1,2,1,0
2024-06-16,13:00,Regular Season,Sun,Away,D,0.0,0.0,Reign,0.0,6.0,1.0,16.7,0.0,0.0,15.0,0.0,0.0,0.0,0.7,0.7,0.12,-0.7,-0.7,Match Report,2024,3.0,0.0,9.0,11.0,2.0,13.0,7.0,11.0,0.0,0.0,0.0,60.0,48.0,Portland Thorns,0,10,0,0
2024-06-23,13:00,Regular Season,Sun,Home,L,1.0,4.0,Current,1.0,14.0,6.0,42.9,0.07,0.17,22.4,1.0,0.0,0.0,0.7,0.7,0.05,0.3,0.3,Match Report,2024,1.0,0.0,12.0,13.0,1.0,9.0,11.0,9.0,0.0,0.0,0.0,50.0,51.0,Portland Thorns,-1,3,1,0
2024-06-29,20:00,Regular Season,Sat,Away,D,0.0,0.0,Royals,0.0,16.0,4.0,25.0,0.0,0.0,17.1,0.0,0.0,0.0,0.9,0.9,0.06,-0.9,-0.9,Match Report,2024,1.0,0.0,9.0,10.0,2.0,22.0,9.0,9.0,0.0,0.0,0.0,38.0,54.0,Portland Thorns,0,11,0,0
